number of equals = 1350				
number of contains = 605				
Kind of Match	Subject	Relation	Object	Context
Contains	Ram Charan	Occupation	Actor	Ram Charan is an Indian film actor, dancer, producer, businessman and entrepreneur, who works in Telugu cinema. He won two state Nandi Awards, two Filmfare Awards South, two CineMAA Awards, and two Santosham Best Actor Award. Ram Charan is one of the highest paid Telugu actors in the country
Equal	Moeko Matsushita	Occupation	Singer	Moeko Matsushita (松下 萌子 Matsushita Moeko) is a Japanese singer and actress from Hyōgo, Japan.
Equal	Kenji Nagai	Occupation	Photojournalist	Kenji Nagai (長井 健司 Nagai Kenji, August 27, 1957 – September 27, 2007) was a Japanese photojournalist who took many assignments to conflict zones and dangerous areas around the world.
Equal	Kirsten Kemp	Occupation	Actress	Kirsten Kemp Becker (born August 27, 1970) is an American actress and television presenter.
Contains	Moloya Goswami	Occupation	Actress	Moloya Goswami (Assamese: মলয়া গোস্বামী) is a popular actress from Assam, India. She was the first Assamese actress to win the National Film Award for Best Actress for her performance in the Assamese film Firingoti (1992).
Equal	Ricardo Blume	Occupation	Actor	Ricardo Blume (born August 16, 1933 in Lima, Perú) is a Peruvian actor and theater director who has developed most of his career in Mexico. His work encompasses theater, cinema and TV.
Contains	Vijay Prakash	Occupation	Singer	He is also one of four singers credited for the song "Jai Ho", which won the 2008 Academy Award for Best Original Song. Specifically, he sang the portion with the words "Jai Ho" that takes an extended high pitch at numerous junctures of the song. The song also won a Grammy Award in the category "Best Song Written For Motion Picture, Television Or Other Visual Media. He has also won the very prestigious Filmfare Award for Best Male Playback Singer - Kannada for the song 'Gatiya Ilidu' from the Kannada film 'Ulidavaru Kandante.
Equal	Luz Valdivieso	Occupation	Actress	Luz María Valdivieso Ovalle (born July 1, 1977) is a Chilean actress.
Equal	Mariano Martínez (actor)	Occupation	Actor	Mariano Martínez (Spanish pronunciation: [maɾiˈano marˈtines]; born December 5, 1978 in Buenos Aires, Argentina) is an Argentine actor.
Contains	Richard Tucker (actor)	Occupation	Actor	He was born in Brooklyn, New York. He was the first official member of the Screen Actors Guild (SAG) and a founding member of SAG's Board of Directors. Tucker died in Woodland Hills, Los Angeles from a heart attack. He is interred at Forest Lawn Memorial Park, in an unmarked niche in Great Mausoleum, Columbarium of Faith.
Equal	Sean Lawlor	Occupation	Actor	Sean Lawlor (January 25, 1954 – October 10, 2009) was an Irish character actor and playwright. He was best known for his portrayal of Malcolm Wallace in Braveheart. He also appeared in Titanic, In the Name of the Father and On Broadway. He appeared in many Irish television films and the RTÉ series Bracken, as well as parts in many Irish films. He produced plays for the stage including his own one-man play, The Watchman, in which he starred.
Equal	Keith Allan (linguist)	Occupation	Linguist	Keith Allan, FAHA (born 27 March 1943) is an Australian linguist and Emeritus Professor at Monash University.
Contains	Keith Allan (linguist)	Occupation	Linguist	Allan sees language as a form of social interactive behaviour and believes this to be an important consideration in any thorough account of meaning in natural language. While he is interested in all aspects of meaning in language, his main interests are Semantics, Pragmatics, Linguistic Meta-theory and the History and Philosophy of Linguistics.
Equal	Rogelio Salmona	Occupation	Architect	Rogelio Salmona (April 28, 1929 – October 3, 2007) was a Colombian architect of Sephardic and Occitan descent. He was noted for his extensive use of red brick in his buildings and for using natural shapes like spirals, radial geometry and curves in his designs. During the latter part of his life, Salmona gained renown thanks to awards like the first prize at the 1986, 1988, and 1990 Colombian Architecture Biennials, and the Alvar Aalto Medal in 2003. His works are highly representative of Colombian architecture at the end of the twentieth century.
Equal	Jack Carpenter (actor)	Occupation	Actor	John T. "Jack" Carpenter (born September 18, 1984) is an American actor.
Equal	Margit Evelyn Newton	Occupation	Actress	Margit Evelyn Newton (born 1961 in Bolzano, Italy) is an Italian actress who appeared in fourteen films between 1979 and 1990. Frequently billed as Margie Newton, she also received billing, at various points in her career, as Margie Moreau, Margi Eveline Newton and Margi Evelyn Newton.
Equal	Mykola Rudenko	Occupation	Poet	Mykola Danylovych Rudenko (Ukrainian: Мико́ла Дани́лович Руде́нко; 12 December 1920, Yuryivka, Donetsk Governorate, Ukrainian SSR – 1 April 2004, Kiev) was a Ukrainian poet, writer, philosopher, Soviet dissident, human rights activist and World War II veteran. He was the founder of the Ukrainian Helsinki group, and was twice arrested for his dissident activities.
Equal	Sharlene Whyte	Occupation	Actress	Sharlene Whyte is an English actress who is most known for playing Jenny Edwards in The Story of Tracy Beaker and Adanna Lawal in Waterloo Road as the Head of Pastoral Care. She trained at RADA from 1996 till 1999 and is 5' 4" tall.
Equal	Nermin Al-Fiqy	Occupation	Actress	Nermin Al-Fiqy (Arabic: نرمين الفقي‎‎, also rendered Nermine Al-Feki and Nermeen El-Fekki or Al-Fekki) (born June 21, 1972) is an Egyptian actress.
Equal	Zdzisław Peszkowski	Occupation	Priest	Zdzisław Peszkowski (Polish pronunciation: [ˈʑd͡ʑis̪waf]) (August 23, 1918 – October 8, 2007), of the Jastrzębiec coat of arms was a Polish Roman Catholic priest and one of a small group of Polish army officers who managed to survive the 1940 mass execution of over 20,000 Polish citizens by NKVD, the Katyn massacre. Peszkowski was a leading advocate and chaplain for the Katyn Families Association, which works with survivors of the Katyn massacre and their families.
Equal	Ariel Helwani	Occupation	Journalist	Ariel Helwani is a Canadian mixed martial arts (MMA) journalist.
Equal	Ben Onwukwe	Occupation	Film	Benjamin Neil Paddock "Ben" Onwukwe (born 21 August 1957 in Stepney, London, England) is a British film, radio, television, theatre and voice actor.
Contains	Eugene Profit	Occupation	Investor	Profit's investment philosophy and approach to valuation-sensitive growth investing has made him the subject of profiles in the financial media including Business Week, SmartMoney, Black Enterprise, Pension & Investments, and Investor's Business Daily. He has also been a guest on Wall Street Week, Money Line, CNBC, CNN, Bloomberg and other prominent financial news networks.
Equal	Abraham Lubin	Occupation	Hazzan	Hazzan Abraham “Abe” Lubin (born 1937) is a London-born American Conservative Jewish Hazzan and former President of the Cantors Assembly, who is the cantor emeritus at Congregation Beth El in Bethesda, Maryland.
Equal	Aleksandra Yakovleva	Occupation	Actress	Aleksandra Evgenievna Yakovleva (born Aleksandra Evgenievna Ivanes, Russian: Александра Евгеньевна Иванес; 2 July 1957) is a Soviet and Russian actress and businesswoman (trnasportation industry - Air and Rail). She was one of the most popular actresses in 1980s.
Equal	Alexander Schirvindt	Occupation	Screen	Alexander Anatolyevich Shirvindt (Russian: Александр Анатольевич Ширвиндт, born July 19, 1934) is a Soviet and Russian screen and stage actor, screenwriter, voice actor, People's Artist and Meritorious Artist of the RSFSR. Awarded with Order of Merit for the Fatherland, Order of Friendship of Peoples. Since 2000 he has been a theater director of Moscow Theater of Satire.
Equal	Angela Warnick Buchdahl	Occupation	Rabbi	Angela Warnick Buchdahl (born Angela Lee Warnick; 1972) is an American rabbi. She is the first Asian-American to be ordained as a rabbi, and the first Asian-American to be ordained as a hazzan (cantor) anywhere in the world. She is also the first woman to become both a rabbi and a cantor; others had become one or the other, but not both. In 2012 she was named by Newsweek Magazine as one of "America’s 50 Most Influential Rabbis," and was recognized as one of the top five in The Jewish Daily Forward's 2014 "Forward Fifty," a list of American Jews who have had the most impact on the national scene in the previous year.
Contains	Annie Rupani	Occupation	World	Annie Rupani (Sindhi: عيني روپاڻِي‎), was crowned Miss Pakistan World 2010 on 20 August 2010. This 21-year-old hailing from Sugarland, Houston, Texas USA is the eighth Miss Pakistan World.
Equal	Arthur Roy Mitchell	Occupation	Artist	Arthur Roy Mitchell (December 18, 1889– November 1977)  was an American artist and historian who was born on his father's homestead west of Trinidad in Las Animas County in southern Colorado.
Contains	Atharvaa	Occupation	Actor	Atharvaa Murali (born 7 May 1989), known mononymously as Atharvaa, is an Indian film actor working in Tamil cinema. The son of actor Murali, Atharvaa began his acting career with Baana Kaathadi (2010). He then garnered critical acclaim for his performance as a youngster suffering from delusion in the romantic thriller Muppozhudhum Un Karpanaigal (2012), before signing on to feature in Bala's period film Paradesi (2013). His role as a rural villager held as a slave in a tea plantation became his breakthrough performance, earning Atharvaa a Filmfare Award for Best Actor in Tamil.
Equal	Bernard Botein	Occupation	Lawyer	Bernard Botein (May 6, 1900 – February 3, 1974) was a prominent New York City lawyer and judge, a legal reformer, a presiding justice of the New York State Supreme Court, Appellate Division, First Department, and a president of the New York City Bar Association.
Equal	Bettie Cilliers-Barnard	Occupation	Artist	Bettie Cilliers-Barnard (18 November 1914 – 15 September 2010) was a South African abstract artist, generally known for her large canvases of birds in flight. She was also the mother of well-known South African actress Jana Cilliers.
Equal	Blanca Guerra	Occupation	Actress	Blanca Guerra (born Blanca Guerra Islas on January 10, 1953 in Mexico City, Mexico) is a Mexican actress. In 1983 she was a member of the jury at the 13th Moscow International Film Festival.
Equal	Brad Pelo	Occupation	Businessman	Brad Pelo (born February 6, 1963) is an American businessman, entrepreneur, and co-founder and chief executive officer of i.TV, the company behind tvtag, a second screen app for iOS. Backed by Union Square Ventures, RRE Ventures, Rho Ventures, Time Warner Investments, DIRECTV, and others, i.TV is also behind the popular namesake app for iOS and Android, and co-created Nintendo TVii for the Nintendo Wii U. Pelo has founded or been a member of the founding team at a number of companies, including Folio Corporation, Ancestry.com, and Nextpage. He also served on the board of directors of Tokyo-based D&M Holdings, the holding company for leading audio brands including Denon, Marantz, McIntosh Laboratories and Boston Acoustics.Pelo is also a movie producer and live event producer.
Equal	Carl Zimmerman	Occupation	Producer	Carl Zimmerman (born November 15, 1929) is an American producer and talent agent. He is a current advisor and project scout for leading television and cable networks, mainly HBO and CBS.
Contains	Charles F. Miller	Occupation	Actor	He was also one of the founding members of the Screen Actors Guild.
Contains	Charles Mnene	Occupation	Film	His first screen experience was in Thomas Clay's The Great Ecstasy of Robert Carmichael, which caused a stir at Cannes International Film Festival in 2005. He also landed the role of Demetrios in Martha Fiennes' feature film Chromophobia. In 2006, Mnene stirred more controversy in the BAFTA award winning drama Shoot the Messenger, alongside David Oyelowo and in 2008's Fallout, written by Roy Williams, in which he plays a gang leader who murders one of his classmates.
Equal	Chen Chao-jung	Occupation	Actor	Chen Chao-jung (Chinese: 陳昭榮; pinyin: Chén Zhāoróng) is a Taiwanese actor. He is most famous for starring in several of Tsai Ming-liang's films, including Rebels of the Neon God and Vive L'Amour.
Equal	Conor Mullen	Occupation	Actor	Conor Mullen (born 1962) is a Dublin-born actor who played Stuart McElroy in Holby City and Aidan Dohertry in the 2007 BBC1 drama series Rough Diamond.
Equal	Cyro Del Nero	Occupation	Scenographer	Cyro Del Nero (December 28, 1931 – July 30, 2010) was a Brazilian scenographer and set designer. Del Nero worked in the theater, television and film industries for more than 50 years. He was also a professor of theatrical costume and stage design at the University of São Paulo.
Equal	Dani Sinha	Occupation	Journalist	Dani Sinha (/ˈsɪnhɑː/) is a British broadcast journalist and presenter, best known for her work on BBC World News and South Today. Since 2015 she has worked as a presenter reporter for 5 News on Channel 5.
Equal	Daniel Hayes	Occupation	Actor	Daniel Hayes (born February 6, 1989) is a Trinidadian actor, boxer and mixed martial artist. He is a top ranked boxing prospect and the boxing ambassador of Trinidad & Tobago. He is known for his acting role in Going Down in LA-LA Land, Lucky 13 etc.
Contains	Denise Eger	Occupation	Rabbi	In March 2015 she became president of the Central Conference of American Rabbis, the largest and oldest rabbinical organization in North America; she is the first openly gay person to hold that position.
Contains	Denise Eger	Occupation	Rabbi	She previously served as the chair of the Search Alliance Institutional Review Board and Treasurer of the Women's Rabbinic Network, and is a past president of the Pacific Association of Reform Rabbis. She chaired the Gay and Lesbian Rabbinic Network of the Central Conference of American Rabbis and is past chair of the Task Force on Gays and Lesbians in the Rabbinate. She is a founding member of the Religion and Faith Council of the Human Rights Campaign and a founding executive committee member of California Faith for Equality. She is a Senior Rabbinic Fellow of the Shalom Hartman Institute.
Contains	Denise Eger	Occupation	Rabbi	She previously served as the chair of the Search Alliance Institutional Review Board and Treasurer of the Women's Rabbinic Network, and is a past president of the Pacific Association of Reform Rabbis. She chaired the Gay and Lesbian Rabbinic Network of the Central Conference of American Rabbis and is past chair of the Task Force on Gays and Lesbians in the Rabbinate. She is a founding member of the Religion and Faith Council of the Human Rights Campaign and a founding executive committee member of California Faith for Equality. She is a Senior Rabbinic Fellow of the Shalom Hartman Institute.
Contains	Denise Eger	Occupation	Rabbi	Denise Leese (Davida) Eger (born March 14, 1960) is an American Reform rabbi. In March 2015 she became president of the Central Conference of American Rabbis, the largest and oldest rabbinical organization in North America; she is the first openly gay person to hold that position.
Equal	Denise Eger	Occupation	Rabbi	Denise Leese (Davida) Eger (born March 14, 1960) is an American Reform rabbi. In March 2015 she became president of the Central Conference of American Rabbis, the largest and oldest rabbinical organization in North America; she is the first openly gay person to hold that position.
Equal	Edward Porta	Occupation	Trader	Edward Porta (born November 13, 1954) was an Argentinian textile trader based in the area of Spartanburg, South Carolina. He pleaded guilty to a federal charge of conspiracy to defraud the U.S. Department of Agriculture of more than $400,000. In February 2008, Porta escaped from the minimum security camp at the U.S. Penitentiary in Lee County, Virginia and was profiled on America's Most Wanted.
Equal	Estefanía Gómez	Occupation	Actress	Stefanía Gómez (born 19 November 1976 in Ibagué, Colombia is a Colombian actress.
Equal	Eugène Varlin	Occupation	Socialist	Eugène Varlin (5 October 1839 – 28 May 1871) was a French socialist, communard and member of the First International. He was one of the pioneers of French syndicalism.
Equal	Euh Yoon-dae	Occupation	Professor	Euh Yoon-Dae (born 1945) is a South Korean professor, financier, and advisor for the South Korean government. He served as Chairman of KB Financial Group and of the Presidential Council on Nation Branding, Korea.
Equal	Floyd Buckley	Occupation	Film	Floyd Buckley (October 21, 1877 - November 14, 1956) was an American film and radio actor. He appeared in 15 films between 1914 and 1953. During the 1930s, he was the voice of Popeye the Sailor on the radio. He was born in Chatham, New York, and died in New York, New York.
Contains	Fred Rinne	Occupation	Artist	In 1985, Rinne co-founded the sound performance group National Disgrace, and later the Bringdownz. These groups performed at Artists' Television Access, the Great American Music Hall and other Bay Area venues.
Equal	Frederick Combs	Occupation	Film	Frederick Combs (October 11, 1935 – September 19, 1992) was an American film, theater and television actor, playwright and director.
Equal	Gary Forero	Occupation	Actor	Gary Forero (born 7 August 1979 in Bogotá, Colombia) is a Colombian actor.
Equal	George Howard Parker	Occupation	Zoologist	George Howard Parker (December 23, 1864 – March 26, 1955) was an American zoologist. He was a professor at Harvard, and investigated the anatomy and physiology of sense organs and animal reactions.
Equal	George Paish	Occupation	Economist	Sir George Paish (7 November 1867 – 1 May 1957) was a British liberal economist of international renown, author of "The Defeat of Chaos" (1941), as well as "Railways in Great Britain" (1904), and co-author of "Road To Prosperity" in 1927. He advocated the free market prior to World War I, and was at one point advisor to the head of the British Treasury. He also served for a time as co-president of the Anglo-Ethiopian Society.
Equal	George Thurland Prior	Occupation	Mineralogist	George Thurland Prior FRS (16 December 1862 – 8 March 1936) was a British mineralogist. He made great contributions to mineralogical chemistry, petrology and meteoritics.
Equal	Gilbert I, Prior of St Andrews	Occupation	Canon	Gilbert (died c. 1198) was a 12th-century Augustinian canon. Active in Scotland, he may have been of Anglo-Norman origin.
Equal	Giorgio Ambrosoli	Occupation	Lawyer	Giorgio Ambrosoli (October 17, 1933 – July 11, 1979) was an Italian lawyer who was gunned down while investigating the malpractice of banker Michele Sindona.
Equal	Glen Jensen	Occupation	Actor	Glen Jensen (born March 24, 1953) is an American actor and stand-up comedian.
Contains	Govindraj Ethiraj	Occupation	TV	He is the anchor of the weekly show Policy Watch on Rajya Sabha TV.
Equal	Gyula Bodrogi	Occupation	Television	Gyula Bodrogi (born 15 April 1934) is a Hungarian television and film actor.
Equal	Haleem Brohi	Occupation	Author	Haleem Brohi (5 August 1935 - 28 July 2010, Hyderabad) was a prominent Pakistani author and journalist, active in the Sindhi language. He is considered the second greatest satirist is Sindhi literature after Ali Mohammad Brohi.
Equal	Helena Zarembina	Occupation	Actress	Helena Zarembina (1895–1960) was a Polish actress.
Equal	Henry Maksoud	Occupation	Businessman	Henry Maksoud (March 8, 1929 – April 17, 2014) was a Brazilian businessman.
Equal	Holly Fulger	Occupation	Actress	Holly Fulger is an American actress. She is best known for her roles as Robin Dulitski in Anything but Love and as Holly Jamison on Ellen.
Contains	Irwin Smigel	Occupation	Dentist	He is the author of Dental Health/Dental Beauty and has written over a hundred articles on the subject of dental aesthetics. Smigel is the founder and current president of the American Society for Dental Aesthetics, diplomat of the American Board of Aesthetic Dentistry, and is the creator and spokesperson for Supersmile. Smigel has been involved with many major developments in dentistry over the past three decades, including: laminates, veneers, changing facial structures and teeth whitening. Smigel is on the editorial advisory board for New Beauty Magazine.
Equal	Jacques Pieiller	Occupation	Actor	Jacques Pieiller is a French actor. In 1980, he starred in Le Voyage en douce under director Michel Deville.
Contains	James M. Galloway	Occupation	United	James M. Galloway is a United States medical doctor who serves as the Regional Health Administrator for the United States Department of Health and Human Services for the six eastern states that comprise Region V. He also serves as the Senior Federal Official for Health for Pandemic Influenza and Bioterrorism for the Department of Homeland Security's Region C, which includes an additional six states. Galloway is also an author, having published over 170 articles, abstracts, book chapters and one book, Primary Care of Native American Patients: Diagnosis, Therapy and Epidemiology. He has received numerous awards, including being named the Outstanding Clinician for the Indian Health Service nationally in 1997 and has been twice awarded the Secretary of Health and Human Services' Award for Distinguished Service.
Equal	Jans Rautenbach	Occupation	Screenwriter	Jans Rautenbach is a South African screenwriter, film producer and director. His 1968 film Die Kandidaat proved controversial and received some censorship in South Africa, because of perceived criticism of the apartheid system.As of March 2014, he is currently directing Abraham, his first film in three decades.
Equal	Jason Pohl	Occupation	Designer	Jason Pohl (born July 1, 1981) is a chopper designer who works at Orange County Choppers. He is most commonly known for his workplace being the subject of the American TV series American Chopper.
Equal	Jean Crubelier	Occupation	Actor	Jean Crubelier is a French actor. In 1980, he starred in Le Voyage en douce under director Michel Deville.
Equal	Jeffrey Nicholas Brown	Occupation	Actor	Jeffrey Nicholas Brown (born August 29, 1975 in Evanston, Illinois) is an American actor. He is most notable for portraying Corbett Stackhouse, the father of Sookie Stackhouse in the True Blood series episode "The First Taste". He has also appeared in other television and film roles including Buffy the Vampire Slayer and the feature film Fifty Pills. Most recently, he portrayed the role of Tony in the Hritik Roshan, Bárbara Mori starer Indian movie Kites.
Equal	Joe Rubbo	Occupation	Actor	Joseph "Joe" Rubbo (born July 26, 1963) is an American film actor and television producer best known for his performance as David in the 1982 coming-of-age comedy-drama The Last American Virgin. He is a member of SAG-AFTRA.
Equal	Joe Stewardson	Occupation	Actor	Joe Stewardson was a South African film actor.
Equal	John Maxim	Occupation	Film	John Maxim (20 July 1925 — 20 January 1990), sometimes credited as John Wills, was an English film and television actor.
Equal	John Navone	Occupation	Priest	John J. Navone S.J. (born October 19, 1930) is a Jesuit priest, theologian, philosopher, educator, author, raconteur, and Professor Emeritus of Pontifical Gregorian University in Rome, Italy. Having reached the mandatory age, he has retired from the Gregorian, returned to the Society's Oregon Province, and is now teaching at Gonzaga University in Spokane, WA.
Equal	James Wolk	Occupation	Actor	James Joseph Wolk (born March 22, 1985) is an American actor.
Equal	Anna Mae Routledge	Occupation	Actress	Anna Mae Wills (born Anna Mae Routledge on March 31, 1982 in Calgary, Canada) is a Canadian actress. She is best known for her role as Celeste in the Disney Channel Original Movie 16 Wishes.
Contains	Leonard Francis Lindoy	Occupation	Chemist	Leonard Francis Lindoy, FAA, is an Australian chemist with interests in macrocyclic chemistry and metallo-supramolecular chemistry, and an Emeritus Professor of Inorganic Chemistry at the University of Sydney and James Cook University. He moved to the University of Sydney in 1996 to take up the departmental chair in inorganic chemistry vacated by Hans Freeman.
Contains	Leonard Francis Lindoy	Occupation	Chemist	He has been recognised for his professional achievements with Fellowships in the Royal Australian Chemical Institute (RACI), the Royal Society of Chemistry (RSC) and in 1993, the Australian Academy of Science.In 1995, Lindoy received both the H G Smith Memorial Medal and the Burrows Award, the premier award of the Inorganic Chemistry Division of the RACI. Lindoy's contributions were also recognised by the Australian Government in 2001 with a Centenary Medal for "service to Australian society and science in inorganic chemistry". In 2005, he was awarded an RACI Distinguished Fellowship and he went on to receive the 2008 Leighton Memorial Medal which is "the RACI's most prestigious medal and is awarded in recognition of eminent services to chemistry in Australia in the broadest sense." In 2009, he received both the Australian Academy of Science's Craig Medal and a Royal Society of Chemistry (RSC) Centenary Lectureship and Medal.
Contains	Leonard Francis Lindoy	Occupation	Chemist	He has been recognised for his professional achievements with Fellowships in the Royal Australian Chemical Institute (RACI), the Royal Society of Chemistry (RSC) and in 1993, the Australian Academy of Science.In 1995, Lindoy received both the H G Smith Memorial Medal and the Burrows Award, the premier award of the Inorganic Chemistry Division of the RACI. Lindoy's contributions were also recognised by the Australian Government in 2001 with a Centenary Medal for "service to Australian society and science in inorganic chemistry". In 2005, he was awarded an RACI Distinguished Fellowship and he went on to receive the 2008 Leighton Memorial Medal which is "the RACI's most prestigious medal and is awarded in recognition of eminent services to chemistry in Australia in the broadest sense." In 2009, he received both the Australian Academy of Science's Craig Medal and a Royal Society of Chemistry (RSC) Centenary Lectureship and Medal.
Equal	James Orr (filmmaker)	Occupation	Writer	James Joseph Orr (born 1953) is a Canadian writer, director and producer of motion pictures. Orr's screenplay credits include Three Men and a Baby, Tough Guys and Sister Act 2: Back in the Habit, whilst his director credits include Mr. Destiny and Man of the House.
Equal	John Hick (MP)	Occupation	Industrialist	John Hick JP DL MP FRSA (2 July 1815 – 2 February 1894) was a wealthy English industrialist, art collector and Conservative Party politician who sat in the House of Commons from 1868 to 1880.
Equal	Dahlia Salem	Occupation	Actress	Dahlia Salem (born November 21, 1971 in New York, New York) is an American actress. She played Sofia Carlino on Another World and Claire Walsh on General Hospital. At the age of six, she was already impersonating family and friends at gatherings. After enrolling in Boston University, Salem began exploring her interest in acting by performing in several college productions including Othello and Biloxi Blues, and earned a nomination for The Irene Ryan Award for her portrayal of Helena in R.U.R.After earning her bachelor's degree, Salem was accepted to the Circle in the Square Theater Conservatory program in New York City, where she studied for two years. Among her noteworthy stage performances are a staged reading of the classic Strindberg play The Father opposite Al Pacino, and her Broadway debut as the understudy for the role of Rosa in the Broadway production of Tennessee Williams' classic The Rose Tattoo, opposite Mercedes Ruehl and Anthony LaPaglia.
Equal	Janne Carlsson	Occupation	Film	Janne "Loffe" Carlsson (born 12 March 1937), sometimes credited as Janne Carlsson, Jan Carlsson or Janne Karlsson, is a Swedish film and television actor. He is also a skilled drummer, featured on several albums in Swedish 1970s and 1980s music. He was the 'Karlsson' of the Swedish jazz fusion/psychedelic rock duo Hansson & Karlsson that were active in the late 1960s.
Equal	Aluizio Abranches	Occupation	Filmmaker	Aluizio Abranches is a Brazilian filmmaker. He has worked extensively as an assistant director and producer in Brazil. His first feature film as director was in the 1999 film A Glass of Rage, which was based on a novel by Raduan Nassar. Abranches holds a degree in economics.
Equal	Kasia Madera	Occupation	Journalist	Katarzyna "Kasia" Madera (born 4 October 1975) is a British journalist and television news presenter. She fronts evening and overnight bulletins on BBC News and BBC World News, presenting the Newsday strand Thursday-Friday from London with Rico Hizon or Sharanjit Leyl in Singapore, World News Today on Fridays-Sunday and Reporters (BBC News programme), a weekly showcase of reports from the BBC.
Equal	Hemant Chaturvedi	Occupation	Cinematographer	Hemant Chaturvedi is an Indian cinematographer in the Hindi film industry, he received great critical acclaim for his first feature, Company (2002). "His frames thrive on the sense of realism, wrote The Hindu, "and the colours capture the gore, dust and highways of the crime world effectively". Thereafter he worked with Vishal Bhardwaj in two successive films, and winning acclaim for Maqbool (2002). Recently he received good reviews of Kurbaan (2009), as per film critic Nikhat Kazmi, his work "serenades" both New Delhi and New York where the films was shot.
Equal	Ira Dubey	Occupation	Actress	Ira Dubey (born 1984) is an Indian actress who has appeared on TV and in Bollywood films.
Equal	Gertraud Jesserer	Occupation	Film	Gertraud Jesserer is an Austrian film and television actress. She was the wife of German actor Peter Vogel and the mother of actor-journalist Nikolas Vogel.
Equal	Helmut Ashley	Occupation	Cinematographer	Helmut Ashley or Helmuth Ashley (born 17 September 1919) is an Austrian cinematographer, television and film director.
Equal	Christoph von Fürer-Haimendorf	Occupation	Ethnologist	Christoph von Fürer-Haimendorf or Christopher von Fürer-Haimendorf (22 June 1909 – 11 June 1995) was an Austrian ethnologist and professor at the School of Oriental and African Studies at London. He spent forty years of his life studying tribal cultures in Northeast India, in the central region of what is now the state of Telangana and in Nepal.
Equal	Didier Bourdon	Occupation	Actor	Didier Bourdon (born 23 January 1959) is a French Algerian-born actor, screenwriter and film director.
Equal	George Whyte	Occupation	Author	George R. Whyte (born 11 July 1933 in Budapest; died 31 August 2012 in London) was an author, composer, dramatist and art collector. His early education was at Highgate Junior School. A British national of Hungarian Jewish extraction, the Holocaust and the loss of many members of his family in Auschwitz have influenced his creative works which have increasingly focused on the struggle against social injustices especially racism.
Equal	Isabelle Candelier	Occupation	Film	Isabelle Candelier (born 12 June 1963) is a French film and television actress.
Equal	Hugh Hardy	Occupation	Architect	Hugh Hardy (born in Majorca, Spain, in 1932) is an American architect. He is known for his work designing theaters, performing-arts venues, public spaces, and cultural facilities across the United States. Many of his designs are created in New Classical styles.
Equal	Alexander Dovzhenko	Occupation	Screenwriter	Alexander Petrovich Dovzhenko or Oleksandr Petrovych Dovzhenko (Ukrainian: Олександр Петрович Довженко, Oleksandr Petrovych Dovzhenko; Russian: Алекса́ндр Петро́вич Довже́нко, Aleksandr Petrovich Dovzhenko; September 10 [O.S. August 29] 1894 – November 25, 1956), was a Soviet screenwriter, film producer and director of Ukrainian origin. He is often cited as one of the most important early Soviet filmmakers, alongside Sergei Eisenstein, Dziga Vertov, and Vsevolod Pudovkin, as well as being a pioneer of Soviet montage theory.
Equal	Carla Lehmann	Occupation	Film	Carla Lehmann (26 February 1917 – 1 December 1990) was a Canadian-born film and television actress.
Equal	Charles Henry Crandall	Occupation	Author	Charles Henry Crandall (June 19, 1858 – March 23, 1923) was an American author and poet. He was a noted farmer and had become active in real estate having amassed 270 acres (1.1 km2) in Stamford by 1910. Crandall was a member of the American Institute of Arts, Science and Letters, a council member of the Stamford Rural Association, and a member of the Stamford Historical Society.
Equal	Yoon Jin-seo	Occupation	Actress	Yoon Jin-seo (born Yoon Soo-kyung, 5 August 1983) is a South Korean actress. Yoon has starred in films such as Oldboy, All for Love, A Good Day to Have an Affair, and Secret Love. She also appeared in a variety of TV series — historical drama The Return of Iljimae, action comedy The Fugitive: Plan B, and cable romantic comedy Twelve Men in a Year.
Equal	Adriana Romero	Occupation	Actress	Adriana Romero Henríquez (born 1979 in Bogotá, Colombia) is a Colombian actress. She is the daughter of late writer Bernardo Romero Pereiro and Judy Henríquez. Sister of Jimena Romero and granddaughter of Bernardo Romero Lozano and Carmen de Lugo.
Equal	Alireza Azmandian	Occupation	Author	Alireza Azmandian (born 1953) the founder of Technology of Thought in Iran is an author, college professor, lecturer and the most famous motivational speaker in Iran. Ph.D. in industrial and systems engineering from the University of Southern California, Azmandian established Padideh Fekr the cultural-scientific institute in 1997 in Iran to develop and teach the self-help system, Technology of Thought. Through countless seminars and lectures, he has phenomenally transformed the lives of millions of Iranians both within and outside his home country.
Equal	Alun Francis	Occupation	Conductor	Alun Francis (born 29 September 1943) is a Welsh conductor.
Equal	Anton Amann	Occupation	Chemist	Anton Amann (20 June 1956 – 6 January 2015) was an Austrian chemist and Professor of chemistry at the Innsbruck Medical University. He worked in the area of physical chemistry, ECG analysis, and exhaled breath analysis.
Equal	Benny Haag	Occupation	Actor	Benny Haag born May 8, 1961, is a Swedish actor and current party leader of Spritpartiet (Liquor Party) who will run in the Swedish general election, 2010 on September 19.
Equal	Bob Koherr	Occupation	Director	Bob Koherr is an American TV director and director and known for directing episodes of Anger Management (TV series) and various Disney Network multi-cam comedies.
